0	-nan	-nan	-nan	
4.32	1.29635	0.246411	0.0838326	
4.33	1.30068	0.245381	0.0836713	
4.34	1.30508	0.244097	0.083456	
4.35	1.30933	0.24311	0.0831751	
4.36	1.31252	0.24409	0.082454	
4.37001	1.31529	0.245107	0.0817017	
4.38001	1.31759	0.246237	0.0809953	
4.39001	1.31948	0.247444	0.0803469	
4.40001	1.32102	0.248547	0.0797081	
4.41001	1.32313	0.250106	0.0794443	
4.42001	1.32579	0.251643	0.0796111	
4.43001	1.32874	0.252816	0.0799939	
4.44001	1.33175	0.253699	0.0802014	
4.45001	1.33442	0.25489	0.0802795	
4.46001	1.337	0.256074	0.0803163	
4.47001	1.33956	0.257196	0.0803316	
4.48001	1.34208	0.25822	0.0802657	
4.49001	1.34453	0.259162	0.08009	
4.50001	1.34692	0.260026	0.0797913	
4.51001	1.34923	0.260815	0.0793497	
4.52001	1.35148	0.261527	0.0787642	
4.53001	1.35363	0.26214	0.0780737	
4.54001	1.3558	0.262442	0.0773207	
4.55001	1.35796	0.262872	0.076778	
4.56001	1.36013	0.263209	0.0763477	
4.57001	1.36238	0.263404	0.0760438	
4.58001	1.36469	0.26347	0.0758559	
4.59001	1.36706	0.263416	0.0757694	
4.60001	1.36943	0.26326	0.0757582	
4.61001	1.37175	0.263006	0.075808	
4.62001	1.37405	0.262603	0.0758776	
4.63001	1.37619	0.262081	0.075953	
4.64001	1.37814	0.261391	0.0760744	
4.65001	1.37986	0.260526	0.076294	
4.66001	1.38182	0.259911	0.0765655	
4.67001	1.38429	0.260128	0.0768003	
4.68001	1.38681	0.260382	0.0769181	
4.69001	1.38943	0.260623	0.0769748	
4.70001	1.39215	0.260965	0.0769803	
4.71001	1.39496	0.261355	0.0769337	
4.72001	1.39786	0.261808	0.0768443	
4.73001	1.40084	0.262321	0.0767094	
4.74001	1.40385	0.262957	0.0765202	
4.75001	1.4069	0.263379	0.0761637	
4.76001	1.4099	0.26382	0.0758841	
4.77001	1.41299	0.264651	0.0757266	
4.78001	1.41616	0.265568	0.075431	
4.79001	1.4193	0.266502	0.0750075	
4.80001	1.42242	0.267426	0.0745022	
4.81002	1.42551	0.268395	0.073926	
4.82002	1.42856	0.269408	0.0732838	
4.83002	1.43158	0.270157	0.0726248	
4.84002	1.4347	0.27106	0.0719467	
4.85002	1.43779	0.271999	0.0712197	
4.86002	1.4409	0.272835	0.0705087	
4.87002	1.44404	0.273884	0.0698151	
4.88002	1.44715	0.275004	0.0690977	
4.89002	1.45024	0.276139	0.0683311	
4.90002	1.45329	0.277331	0.067566	
4.91002	1.45633	0.278543	0.0667983	
4.92002	1.45936	0.279728	0.0660365	
4.93002	1.4624	0.280929	0.0652976	
4.94002	1.46546	0.282101	0.064621	
4.95002	1.46856	0.283243	0.0640172	
4.96002	1.47171	0.284343	0.0634906	
4.97002	1.47493	0.285367	0.0630421	
4.98002	1.47809	0.285838	0.0622006	
4.99002	1.48116	0.284978	0.0608518	
5.00002	1.48445	0.28364	0.0597204	
5.01002	1.48819	0.282771	0.059423	
5.02002	1.49227	0.28184	0.0595429	
5.03002	1.49655	0.280663	0.0598179	
5.04002	1.501	0.279172	0.0602509	
5.05002	1.50562	0.277381	0.0608161	
5.06002	1.51036	0.275198	0.0615003	
5.07002	1.5152	0.272579	0.0623251	
5.08002	1.52014	0.269512	0.063282	
5.09002	1.52517	0.265962	0.0643749	
5.10002	1.53028	0.261887	0.0655958	
5.11002	1.53546	0.257244	0.0669352	
5.12002	1.54069	0.25199	0.0683818	
5.13002	1.54541	0.248262	0.069628	
5.14002	1.54909	0.248805	0.0701123	
5.15002	1.55243	0.249535	0.0704565	
5.16002	1.55548	0.250146	0.0708158	
5.17002	1.55806	0.250772	0.0712213	
5.18002	1.56041	0.25137	0.0715807	
5.19002	1.56295	0.251712	0.0717913	
5.20002	1.5654	0.25188	0.0719835	
5.21002	1.56778	0.25195	0.0721087	
5.22002	1.57014	0.251898	0.0721496	
5.23002	1.57246	0.251723	0.0721376	
5.24003	1.57472	0.251423	0.0720731	
5.25003	1.57688	0.251029	0.0719898	
5.26003	1.57888	0.250511	0.07185	
5.27003	1.58066	0.249864	0.0715737	
5.28003	1.58215	0.249103	0.0711312	
5.29003	1.58328	0.248272	0.0705781	
5.30003	1.58406	0.2474	0.0699665	
5.31003	1.58447	0.246477	0.0692591	
5.32003	1.58445	0.245571	0.0685585	
5.33003	1.58398	0.244734	0.0678327	
5.34003	1.58304	0.243955	0.0671626	
5.35003	1.58157	0.243362	0.0664751	
5.36003	1.57953	0.242811	0.065904	
5.37003	1.57685	0.242393	0.0654036	
5.38003	1.5738	0.242067	0.0650556	
5.39003	1.57035	0.241912	0.06479	
