0	-nan	-nan	-nan	
3.63	-0.109945	0.0339123	0.124129	
3.64	-0.11189	0.034495	0.13238	
3.65	-0.113943	0.0351362	0.140336	
3.66	-0.115877	0.0356359	0.148016	
3.67	-0.11684	0.0350455	0.155419	
3.68	-0.117723	0.0342874	0.162342	
3.69	-0.118229	0.0332895	0.16888	
3.7	-0.118403	0.0318732	0.175021	
3.71	-0.117859	0.0297439	0.180713	
3.72	-0.116516	0.0268479	0.185928	
3.73	-0.114471	0.0233455	0.190577	
3.74	-0.111602	0.0190002	0.194691	
3.75	-0.107864	0.0138052	0.198268	
3.76	-0.103316	0.00787348	0.201301	
3.77	-0.0979366	0.00114891	0.203816	
3.78	-0.0916913	-0.00641911	0.205803	
3.79	-0.0845371	-0.0148881	0.207273	
3.8	-0.076441	-0.0243201	0.208244	
3.81	-0.0673481	-0.0347988	0.208672	
3.82	-0.0570704	-0.0463957	0.208348	
3.83	-0.0454022	-0.0592333	0.207245	
3.84	-0.0323616	-0.073431	0.205424	
3.85	-0.0179769	-0.088999	0.202925	
3.86	-0.00222101	-0.106021	0.199803	
3.87	0.00427401	-0.118676	0.194623	
3.88	-0.00745916	-0.118922	0.187154	
3.89	-0.0159707	-0.116532	0.180707	
3.9	-0.020533	-0.113016	0.174226	
3.91	-0.0226378	-0.107975	0.167648	
3.92	-0.0235876	-0.101115	0.161583	
3.93	-0.0238428	-0.0922796	0.155843	
3.94	-0.0235121	-0.0815317	0.15047	
3.95	-0.0226995	-0.0688551	0.145432	
3.96	-0.0241522	-0.0624231	0.137261	
3.97	-0.0264321	-0.0602584	0.127397	
3.98	-0.0284913	-0.05844	0.118058	
3.99	-0.0305285	-0.0561868	0.10956	
4	-0.03299	-0.0546292	0.101438	
4.01	-0.0355519	-0.0535399	0.0939933	
4.02	-0.0385172	-0.052838	0.0872902	
4.03	-0.0414224	-0.0527628	0.0808256	
4.04	-0.0404701	-0.0517856	0.072689	
4.05	-0.0389505	-0.0510387	0.0638582	
4.06	-0.0376934	-0.0505264	0.054576	
4.07	-0.0367579	-0.0500566	0.0449517	
4.08	-0.0361028	-0.0492698	0.0351387	
4.09	-0.0355249	-0.0484412	0.0251173	
4.1	-0.0349003	-0.0473597	0.0150591	
4.11	-0.0345251	-0.0467418	0.00463782	
4.12	-0.0342832	-0.0462638	-0.00589622	
4.13	-0.0343273	-0.0458565	-0.0163927	
4.14	-0.0343914	-0.0457223	-0.0271667	
4.15	-0.0346568	-0.0458863	-0.0381245	
4.16	-0.0351874	-0.046398	-0.0492281	
4.17	-0.0350499	-0.0458902	-0.0598416	
4.18	-0.0349044	-0.0454055	-0.0703419	
4.19	-0.0337383	-0.0436091	-0.0798163	
4.2	-0.0347324	-0.0447066	-0.0910194	
4.21	-0.0349593	-0.0449105	-0.101317	
4.22	-0.034356	-0.0441087	-0.110514	
4.23	-0.0333458	-0.0428238	-0.119238	
4.24	-0.0322558	-0.0414755	-0.127831	
4.25	-0.031391	-0.0404955	-0.136309	
4.26	-0.0306131	-0.0396472	-0.144569	
4.27	-0.0299796	-0.0390285	-0.152617	
4.28	-0.0295757	-0.0387393	-0.160426	
4.29	-0.0294885	-0.0388689	-0.167969	
4.3	-0.0299176	-0.0394876	-0.175248	
4.31	-0.0309738	-0.0406803	-0.182291	
4.32	-0.0328671	-0.043027	-0.189042	
4.33	-0.03577	-0.0465414	-0.195492	
4.34	-0.0395348	-0.0509092	-0.201545	
4.35	-0.0422027	-0.0550761	-0.206755	
4.36	-0.0371101	-0.0546696	-0.209177	
4.37001	-0.0327063	-0.0516827	-0.210825	
4.38001	-0.0282468	-0.0463097	-0.21168	
4.39001	-0.024192	-0.0387491	-0.211552	
4.40001	-0.0210953	-0.0295375	-0.210538	
4.41001	-0.0151863	-0.0228518	-0.210945	
4.42001	-0.0103274	-0.0177987	-0.212384	
4.43001	-0.00688777	-0.0141822	-0.21406	
4.44001	-0.00420446	-0.0115998	-0.214934	
4.45001	-0.000815456	-0.00805205	-0.214749	
4.46001	0.00242052	-0.00449067	-0.213937	
4.47001	0.00536918	-0.00117699	-0.212562	
4.48001	0.00802001	0.00176319	-0.210477	
4.49001	0.0103082	0.00436215	-0.207613	
4.50001	0.0122185	0.00662917	-0.203937	
4.51001	0.0137614	0.00858807	-0.199428	
4.52001	0.0149655	0.0102561	-0.194102	
4.53001	0.0159171	0.0116234	-0.18805	
4.54001	0.0162213	0.012134	-0.181561	
4.55001	0.0173874	0.0130824	-0.175371	
4.56001	0.018728	0.0139442	-0.16919	
4.57001	0.0202756	0.0145379	-0.163245	
4.58001	0.0221114	0.0149188	-0.157579	
4.59001	0.0242659	0.0151299	-0.152201	
4.60001	0.0265968	0.0155022	-0.147169	
4.61001	0.029255	0.0159678	-0.142393	
4.62001	0.0321643	0.0154644	-0.137605	
